UF_SIGLA,NOME_UF,N_PROCEDIMENTOS,POPULACAO_2022,TAXA_100K,TAXA_GLOBAL_100K
PR,Paraná,34084,11443208,29.786,297.85
ES,Espírito Santo,6523,3833486,17.015,170.16
SC,Santa Catarina,5024,7609601,6.601999999999999,66.02
PB,Paraíba,1869,3930885,4.755,47.55
MG,Minas Gerais,8743,20538718,4.258,42.57
AC,Acre,303,830026,3.65,36.5
RS,Rio Grande do Sul,3949,10880506,3.63,36.29
SP,São Paulo,15353,44420459,3.4549999999999996,34.56
RN,Rio Grande do Norte,1106,3302406,3.349,33.49
SE,Sergipe,597,2209558,2.7039999999999997,27.02
GO,Goiás,1692,7055228,2.9975,23.98
PE,Pernambuco,2042,9058155,2.256,22.54
TO,Tocantins,326,1511459,2.3966666666666665,21.57
MS,Mato Grosso do Sul,543,2756700,2.187777777777778,19.7
PA,Pará,1308,8116132,4.03,16.12
AL,Alagoas,417,3127511,1.334,13.33
CE,Ceará,1089,8791688,1.24,12.39
DF,Distrito Federal,286,2817068,1.2675,10.15
RJ,Rio de Janeiro,1523,16054524,0.95,9.49
AP,Amapá,66,733508,9.0,9.0
MA,Maranhão,570,6775152,0.841,8.41
PI,Piauí,230,3269200,1.408,7.04
MT,Mato Grosso,101,3658813,2.76,2.76
BA,Bahia,311,14136417,0.22000000000000003,2.2
RO,Rondônia,29,1581016,0.915,1.83
AM,Amazonas,42,3941175,0.21400000000000002,1.07
